,Dateiname,Textnummer,Zeichenanzahl,Titel,Bibliographischer Nachweis,Sprache,Erscheinungsort,Jahr,Postume Nachdrucke,Entsprechungen in Buchwerken,lat,lng
1708,1835-Chronologie_des_plus-2,V.38,6784.0,Untersuchungen über den Namen Amerika,"in: Annalen der Erd-, Völker- und Staatenkunde 3:1:3 (31. Dezember 1835), S. 209–212.",Deutsch,Berlin,1835,"Alexander von Humboldt, Ueber die künftigen Verhältnisse von Europa und Amerika. Politische und historographische Schriften zur Neuen Welt, herausgegeben von Oliver Lubrich, Hannover: Wehrhahn 2010. S. 81–84.",,52.52437,13.41053
1709,1835-Lieut_Burnes_and-1-neu,V.39,1466.0,Lieut. Burnes and Humboldt Ü,"in: The Atlas. A General Newspaper and Journal of Literature 10:456 (8. Februar 1835), S. 85.","Englisch, Französisch",London,1835,,,51.50853,-0.12574
1710,1835-Lieut_Burnes_and-2-neu,V.39,1437.0,"From Baron Humboldt to John Murray, Esq., London","in: The United Service Journal and Naval and Military Magazine 1:75 (Februar 1835), S. 274.","Englisch, Französisch",London,1835,,,51.50853,-0.12574
1711,1835-Mexicanische_Alterthuemer-1,V.40,12512.0,Mexicanische Alterthümer,"in: Annalen der Erd-, Völker- und Staatenkunde 11:4 (31. Januar 1835), S. 321–325.",Deutsch,Berlin,1835,"„Amerikanische Alterthümer“ (Brief vom 10. Januar 1835), in: Briefwechsel Alexander von Humboldt’s mit Heinrich Berghaus aus den Jahren 1825 bis 1858, 3 Bände, Leipzig: Hermann Costenoble 1863, Band 2, S. 94–103, hier: S. 96–103.Alexander von Humboldt und Samuel Heinrich Spiker, Briefwechsel, herausgegeben von Ingo Schwarz unter Mitarbeit von Eberhard Knobloch, Berlin: Akademie 2007, S. 279–282.Alexander von Humboldt, Das große Lesebuch, herausgegeben von Oliver Lubrich. Frankfurt/M.: Fischer 2009, S. 190–195.Alexander von Humboldt, Ueber die Urvölker von Amerika und die Denkmähler welche von ihnen übrig geblieben sind. Anthropologische und ethnographische Schriften, herausgegeben von Oliver Lubrich, Hannover: Wehrhahn 2009, S. 88–93.",,52.52437,13.41053
1712,1835-Mexicanische_Alterthuemer-2,V.40,12591.0,Mexicanische Alterthümer,"in: Berlinische Nachrichten Von Staats- und gelehrten Sachen 57 (9. März 1835), Beilage, [o. S.].",Deutsch,Berlin,1835,,,52.52437,13.41053
1713,1835-Mexicanische_Alterthuemer-3,V.40,12845.0,Mexicanische Alterthümer,"in: Allgemeine Zeitung 79 (20. März 1835), Außerordentliche Beilage 103–104 (20. März 1835), S. [409]–410.",Deutsch,Augsburg,1835,,,48.37154,10.89851
1714,1835-Mexicanische_Alterthuemer-4,V.40,12632.0,Mexikanische Alterthümer,"in: Morgenblatt für gebildete Stände 29:68 (20. März 1835), S. [269]–270; 29:69 (21. März 1835), S. 274–276.",Deutsch,Stuttgart; Tübingen,1835,,,48.78232,9.17702
1715,1835-Mexicanische_Alterthuemer-5-neu,V.40,4976.0,Mexicanische Alterthümer,"in: Allgemeiner Anzeiger und Nationalzeitung der Deutschen 1:115 (29. April 1835), Sp. 1501–1503.",Deutsch,Gotha,1835,,,50.94823,10.70193
1716,1835-Mexicanische_Alterthuemer-6-neu,V.40,3202.0,Observations de M. de Humboldt,"in: Carl Nebel, Voyage pittoresque et archéologique dans la partie la plus intéressante du Mexique, Paris: Moench/Gau 1836, [o. S.].",Französisch,Paris,1836,,,48.85341,2.3488
1717,1835-Mexicanische_Alterthuemer-7-neu,V.40,3186.0,Observaciones del Baron de Humboldt,"in: Carl Nebel, Viage Pintoresco y Arqueologico en la Republica Mejicana en los Años 1828 hasta 1833, Paris und Mexico: P. Renouard 1837, [o. S.].",Spanisch,Mexico; Paris,1837,,,,
1718,1835-Note_sur_des-1,V.41,6089.0,"Note sur des empreintes de pieds d’un quadrupède, dans la formation de grès bigarré de Hildburghausen, en Allemagne","in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 1 (1835), S. 45-48.",Französisch,Paris,1835,,,48.85341,2.3488
1719,1835-Note_sur_des-2-neu,V.41,7223.0,Traces de mammifères dans le grès bigarré,"in: Gazette Médicale de Paris 3:34 (22. August 1835), S. 537–538.",Französisch,Paris,1835,,,48.85341,2.3488
1720,1835-Note_sur_des-3-neu,V.41,2656.0,"Traces of Mammalia in the New Red Sandstone (grès bigarré) of Hildburghausen in Germany, communicated to the Academy of Sciencs of France","in: Brighton Gazette and Lewes Observer: Or, Chichester, Arundel, Horsham, Worthing, Eastbourne, Hastings, St. Leonard’s, and Cumbridge Wells Fashionable Chronicle, Sussex and General Advertiser 758 (27. August 1835), [o. S.].",Englisch,Brighton,1835,,,50.82838,-0.13947
1721,1835-Note_sur_des-4-neu,V.41,7275.0,Ueber die bei Heßberg etc. im Hildburghäusischen aufgefundenen Thierfährten im bunten Sandsteine,"in: Notizen aus dem Gebiete der Natur- und Heilkunde 985 [= 45:17] (August 1835), Sp. 263–265.",Deutsch,Weimar,1835,,,50.9803,11.32903
1722,1835-Note_sur_des-5,V.41,8907.0,Note sur des empreintes de pieds d’un Quadrupède dans la formation de grès bigarré de Hildburghausen en Allemagne,"in: Annales des sciences naturelles 4 (1835), S. 135–138, Tafel.",Französisch,Paris,1835,,,48.85341,2.3488
1723,1835-Note_sur_une-1,V.42,2566.0,"Note sur une grande masse de malachite, trouvée dans les mines ouraliennes de M. Demidoff","in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 1 (1835), S. 86–87.",Französisch,Paris,1835,,,48.85341,2.3488
1724,1835-Note_sur_une-2-neu,V.42,2030.0,Géologie,"in: L’Institut, Journal Général des Sociétés et Travaux Scientifiques de la France et de l’Étranger 3:121 (2. September 1835), S. 282.",Französisch,Paris,1835,,,48.85341,2.3488
1725,1835-Note_sur_une-3-neu,V.42,2538.0,Masse gigantesque de malachite,"in: Nouvelles annales des voyages et des sciences géographiques [...] 3 (1835), S. 376–378.",Französisch,Paris,1835,,,48.85341,2.3488
1726,1835-Note_sur_une-4,V.42,652.0,Malachitmasse von unerhörter Größe,"in: Annalen der Physik und Chemie 37:1 [= 113:1] (1836), S. 239–240.",Deutsch,Leipzig,1836,,,51.33962,12.37129
1727,1835-Note_sur_une-5,V.42,1673.0,Sur une masse de malachite découverte dans les mines de l’Oural; par M. Schwetzoff,"in: Archives des découvertes et des inventions nouvelles,  faites dans les Sciences, les arts et les manufactures, tant en France que dans les pays étrangers, pendant l’année 1835 (1836), S. 71–72.",Französisch,Paris,1835,,,48.85341,2.3488
1728,1835-O_pricinach_izmenenij-1-neu,,132035.0,О причинахъ измѣненiй въ линеяхъ равной годичной теплоты [O pričinach izměnenij v linejach pravnoj godičnoj teploty],"übersetzt von Al. Drašusov, in: Učenyja zapiski Moskovskago Imperatorskago universiteta 7:9 (März 1835), S. 411–439; 8:10 (April 1835), S. 47–72; 8:11 (Mai 1835), S. 223–253; 8:12 (Juni 1835), S. 403–433.",Russisch,Moskau,1835,,,55.75222,37.61556
1729,1835-Observations_sur_un-1-neu,V.43,5047.0,"Observations sur un mémoire de M. Hillhouse, extrait d’une lettre de M. de Humboldt à M. Eyriès Ü","in: Nouvelles annales des voyages et des sciences géographiques 2 (1835), S. 5–8.",Französisch,Paris,1835,,,48.85341,2.3488
1730,1835-Regne_animal_Tableau-1,V.44,1590.0,"Règne animal. – Tableau de la nouvelle division de ce règne, par M. Ehrenberg, membre de l’Académie de Berlin, et correspondant de l’Institut de France Ü","in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 1 (1835), S. 124–125.",Französisch,Paris,1835,,,48.85341,2.3488
1731,1835-Regne_animal_Tableau-2-neu,V.44,1389.0,"[Règne animal. – Tableau de la nouvelle division de ce règne, par M. Ehrenberg, membre de l’Académie de Berlin, et correspondant de l’Institut de France]","in: L’Institut, Journal Général des Sociétés et Travaux Scientifiques de la France et de l’Étranger 3:124 (23. September 1835), [o. S.].",Französisch,Paris,1835,,,48.85341,2.3488
1732,1835-Regne_animal_Tableau-3-neu,V.44,1517.0,"Nouvelle distribution du règne animal, par M. Ehrenberg","in: Encyclographie des sciences médicales 38 (Oktober 1835), [o. S.].",Französisch,Brüssel,1835,,,50.85045,4.34878
1733,1835-xxx_Lettre_a_Francois-01-neu,V.45,1450.0,[Lettre à François Arago],"in: Journal des débats politiques et littéraires (24. April 1835), S. [o. S.].",Französisch,Paris,1835,,,48.85341,2.3488
1734,1835-xxx_Lettre_a_Francois-02-neu,V.45,1352.0,[Lettre à François Arago],"in: Journal général de l’instruction publique et des cours scientifiques et littéraires 4:51 (26. April 1835), S. 236.",Französisch,Paris,1835,,,48.85341,2.3488
1735,1835-xxx_Lettre_a_Francois-03-neu,V.45,1076.0,[Baron de Humboldt],"in: The Observer (26. April 1835), [o. S.].",Englisch,London,1835,,,51.50853,-0.12574
1736,1835-xxx_Lettre_a_Francois-04-neu,V.45,1124.0,Baron Alexander von Humboldt,"in: The True Sun 1005 (27. April 1835), [o. S.].",Englisch,London,1835,,,51.50853,-0.12574
1737,1835-xxx_Lettre_a_Francois-05-neu,V.45,1077.0,[Lettre à François Arago],"in: The Observer (27. April 1835), [o. S.].",Englisch,London,1835,,,51.50853,-0.12574
1738,1835-xxx_Lettre_a_Francois-06-neu,V.45,1524.0,Baron de Humboldt,"in: The Morning Chronicle 20498 (27. April 1835), [o. S.].",Englisch,London,1835,,,51.50853,-0.12574
1739,1835-xxx_Lettre_a_Francois-07-neu,V.45,1090.0,[Lettre à François Arago],"in: The Times 15775 (27. April 1835), S. 4.",Englisch,London,1835,,,51.50853,-0.12574
1740,1835-xxx_Lettre_a_Francois-08-neu,V.45,1413.0,Baron de Humboldt,"in: The Patriot 4:175 (29. April 1835), S. 130.",Englisch,London,1835,,,51.50853,-0.12574
1741,1835-xxx_Lettre_a_Francois-09-neu,V.45,1091.0,[Lettre à François Arago],"in: The Glamorgan Monmouth And Brecon Gazette, and Merthyr Guardian 3:129 (2. Mai 1835), [o. S.].",Englisch,Merthyr Tydfil,1835,,,51.74794,-3.37779
1742,1835-xxx_Lettre_a_Francois-10-neu,V.45,1300.0,Alexander von Humboldt an Herrn Arago,"in: Zeitung für die elegante Welt 92 (11. Mai 1835), S. 367.",Deutsch,Leipzig,1835,,,51.33962,12.37129
1743,1835-xxx_Lettre_a_Francois-11-neu,V.45,1377.0,[Lettre à François Arago],"in: Oesterreichisch-Kaiserliche privilegirte Wiener Zeitung 109 (13. Mai 1835), S. 561.",Deutsch,Wien,1835,,,48.20849,16.37208
1744,1835-xxx_Lettre_a_Francois-12-neu,V.45,2525.0,Baron de Humboldt,"in: Saunders’s News-Letter, and Daily Advertiser 29257 (8. Juli 1835), [o. S.].",Englisch,Dublin,1835,,,53.33306,-6.24889
1745,1835-xxx_Lettre_a_Francois-13-neu,V.45,1631.0,[Lettre à François Arago],"in: The Edinburgh Journal of Natural History, and of the Physical Sciences 1:1 (24. Oktober 1835), S. 4.",Englisch,Edinburgh,1835,,,55.95206,-3.19648
1746,1835-xxx_Lettre_a_Francois-14-neu,V.45,1479.0,[Lettre à François Arago],"in: Journal de l’institut historique 2 (1835), S. 164–165.",Französisch,Paris,1835,,,48.85341,2.3488
1747,1836-Aufforderung_zur_Entscheidung-1-neu,V.46,19497.0,"Aufforderung zur Entscheidung der Frage, ob der Granit des rechten Elbufers in Sachsen jünger oder älter sey, als die Kreide","in: Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde (1836), S. 17–28.",Deutsch,Stuttgart,1836,,,48.78232,9.17702
1748,1836-Erdsenkungen-1,V.47,1276.0,Erdsenkungen,"in: Annalen der Physik und Chemie 37:2 [= 113:2] (1836), S. 462–463.",Deutsch,Leipzig,1836,,,51.33962,12.37129
1749,1836-Inclinations_und_Declinationsbeobachtungen-1,V.48,1450.0,Inclinations- und Declinationsbeobachtungen zu Kasan,"in: Annalen der Physik und Chemie 37:1 [= 113:1] (1836), S. 195–196.",Deutsch,Leipzig,1836,,,51.33962,12.37129
1750,1836-Infusoires_fossiles-1,V.49,4439.0,Infusoires fossiles,"in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 3 (Juli–Dezember 1836), S. 200–202.",Französisch,Paris,1836,,,48.85341,2.3488
1751,1836-Infusoires_fossiles-2-neu,V.49,5192.0,Analyse du mémoire de M. Ehrenberg sur sa curieuse découverte d’infusoires fossiles dans le tripoli; dont M. Brongniart a déjà donné connaissance à l’Académie,"in: Journal général de l’instruction publique et des cours scientifiques et littéraires 5:89 (4. September 1836), S. 709–710.",Französisch,Paris,1836,,,48.85341,2.3488
1752,1836-Stuendliche_Variation_der-1-neu,V.50,1069.0,Stündliche Variation der Magnetnadel,"in: Berlinische Nachrichten von Staats- und gelehrten Sachen 174 (28. Juli 1836), [o. S.].",Deutsch,Berlin,1836,,,52.52437,13.41053
1753,1836-Stuendliche_Variation_der-2,V.50,1098.0,Stündliche Variation der Magnet-Nadel,"in: Allgemeine Preußische Staats-Zeitung 209 (29. Juli 1836), S. 858.",Deutsch,Berlin,1836,,,52.52437,13.41053
1754,1836-Stuendliche_Variation_der-3,V.50,1065.0,Stündliche Variation der Magnetnadel,"in: Allgemeine Zeitung 215 (2. August 1836), Beilage 354 (2. August 1836), S. 1415.",Deutsch,Augsburg,1836,,,48.37154,10.89851
1755,1836-Stuendliche_Variation_der-4-neu,V.50,1146.0,Stündliche Variationen der Magnetnadel,"in: Oesterreichisch-Kaiserliche privilegirte Wiener Zeitung 176 (3. August 1836), S. 997.",Deutsch,Wien,1836,,,48.20849,16.37208
1756,1836-Stuendliche_Variation_der-5-neu,V.50,1146.0,Island,"in: Gemeinnützige Blätter zur Belehrung und Unterhaltung; als gleichzeitige Begleiter der vereinigten Ofner und Pesther Zeitung 26:63 (7. August 1836), S. 502–503.",Deutsch,Budapest,1836,,,47.49835,19.04045
1757,1836-Stuendliche_Variation_der-6-neu,V.50,1081.0,Stündliche Variation der Magnetsnadel,"in: Allgemeiner Anzeiger und Nationalzeitung der Deutschen 2:215 (9. August 1836), Sp. 2749–2750.",Deutsch,Gotha,1836,,,50.94823,10.70193
1758,1836-Stuendliche_Variation_der-7-neu,V.50,1058.0,Stündliche Variation der Magnetnadel,"in: Der Sammler. Eine Beilage der Ausgbruger Abendzeitung zur Unterhaltung und Belehrung 5:32 (1836), S. 128.",Deutsch,Augsburg,1836,,,48.37154,10.89851
1759,1836-Stuendliche_Variation_der-8-neu,V.50,1462.0,Osservazioni simultane della declinazione magnetica,"in: Gazzetta piemontese 187 (18. August 1837), [o. S.].",Italienisch,Turin,1837,,,45.07049,7.68682
1760,1836-Sur_la_hauteur-1,V.51,7620.0,Sur la hauteur moyenne du baromètre au niveau de la mer par différentes latitudes,"in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 2:1 (1836), S. 570–573.",Französisch,Paris,1836,,,48.85341,2.3488
1761,1836-Sur_la_hauteur-2-neu,V.51,7402.0,Hauteur moyenne du baromètre au niveau de la mer par différentes latitudes,"in: L’Institut, Journal Général des Sociétés et Travaux Scientifiques de la France et de l’Étranger 4:163 (22. Juni 1836), S. 198–199.",Französisch,Paris,1836,,,48.85341,2.3488
1762,1836-Sur_la_hauteur-3-neu,V.51,7167.0,Sur la hauteur moyenne du baromètre au niveau de la mer par différentes latitudes,"in: Nouvelles annales des voyages et des sciences géographiques 2 (1836), S. 380–384.",Französisch,Paris,1836,,,48.85341,2.3488
1763,1836-Ueber_die_Mittel-1,V.52,28487.0,Ueber die Mittel den Erdmagnetismus durch permanente Anstalten und correspondirende Beobachtungen zu erforschen,"in: Astronomische Nachrichten 13:306 (1836), Sp. 281–292.",Französisch,Hamburg,1836,"Correspondance scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, Paris: Ducrocq 1865, S. 338–357, satzidentisch erneut in Correspondance inédite scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: Guérin 1869, hier Band 1, S. 338–357.[Brief in französischer Sprache], in: Ernst Schering, „Carl Friedrich Gauss und die Erforschung des Erdmagnetismus“, in: Abhandlungen der Königlichen Gesellschaft der Wissenschaften zu Göttingen 34 (1887), S. 1–22, Humboldts Brief S. 9–21.[Transkription des Londoner Briefmanuskripts und deutsche Übersetzung], in: Karin Reich, Eberhard Knobloch, Elena Roussanova (Hrsg.), Alexander von Humboldts Geniestreich. Hintergründe und Folgen seines Briefes an den Herzog von Sussex für die Erforschung des Erdmagnetismus, Berlin, Heidelberg: Springer Spektrum 2016, S. 121–141.",,53.55073,9.99302
1764,1836-Ueber_die_Mittel-2,V.52,28867.0,"Letter from Baron von Humboldt to His Royal Highness the Duke of Sussex, K.G., President of the Royal Society of London, on the Advancement of the Knowledge of Terrestrial Magnetism, by the Establishment of Magnetic Stations and corresponding Observations","in: The London and Edinburgh Philosophical Magazine and Journal of Science 9:51 (Juli 1836), S. 42–53.",Englisch,London,1836,,,51.50853,-0.12574
1765,1836-Ueber_die_Mittel-3,V.52,28036.0,Observations correspondantes sur le magnétisme terrestre,"in: Bibliothèque universelle de Genève 4 (Juli 1836), S. [127]–139.",Französisch,Genf,1836,,,46.20222,6.14569
1766,1836-Ueber_die_Mittel-4-neu,V.52,28060.0,"Lettre de M. de Humboldt à S. A. R. le duc de Sussex, président de la société royale de Londres, sur les moyens de perfectionner la connaissance du magnétisme terrestre par l’établissement de stations magnétiques permanentes","in: Nouvelles annales des voyages et des sciences géographiques 2 (1836), S. 257–276.",Französisch,Paris,1836,,,48.85341,2.3488
1767,1836-Ueber_die_Mittel-5-neu,V.52,5029.0,[Ueber die Mittel den Erdmagnetismus durch permanente Anstalten und correspondirende Beobachtungen zu erforschen],"in: Johann Lamont, „Neue magnetische Observatorien“, in: Jahrbuch der Königlichen Sternwarte bei München 3 (1840), S. 238–247, hier S. 238–241.",Deutsch,München,1840,,,48.13743,11.57549
1768,1836-Ueber_die_Mittel-6-neu,V.52,27660.0,"Lettre de M. de Humboldt à S. A. R. monseigneur le duc de Sussex, président de la Société royale de Londres, sur les moyens propres à perfectionner la connaissance du magnétisme terrestre par l’établissement de stations magnétiques et d’observations correspondantes","in: Antoine César Becquerel, Traité experimental de l’électricité et du magnétisme, et de leurs rapports avec les phénomènes naturels, 6 Bände, Paris: Firmin Didot Frères 1834–1840, Band 6 (1840), S. 435–449. Satzidentisch erneut in Antoine César Becquerel, Traité complet du magnétisme, Paris: Firmin Didot Frères 1846, S. 435–449.",Französisch,Paris,1840,,,48.85341,2.3488
1769,1836-Ueber_eine_neue-1,V.53,3017.0,Ueber eine neue Periode in den Veränderungen der magnetischen Declination,"in: Annalen der Physik und Chemie 37:3 [= 113:3] (1836), S. 526–527.",Deutsch,Leipzig,1836,,,51.33962,12.37129
1770,1836-Ueber_einige_elektro-1,V.54,29040.0,Ueber einige elektro-magnetische Erscheinungen und den verminderten Luftdruck in der Tropen-Gegend des Atlantischen Oceans,"in: Annalen der Physik und Chemie 37:2 [= 113:2] (1836), S. 241–258.",Deutsch,Leipzig,1836,,,51.33962,12.37129
1771,1836-Ueber_einige_elektro-2-neu,V.54,6973.0,In Beziehung auf electrische Fische,"in: Notizen aus dem Gebiete der Natur- und Heilkunde 49:4/1060 (Juni 1836), Sp. 55–57.",Deutsch,Weimar,1836,,,50.9803,11.32903
1772,1836-Vorwort-1,V.55,10583.0,Vorwort,"in: Wilhelm von Humboldt, Über die Kawi-Sprache auf der Insel Java, nebst einer Einleitung über die Verschiedenheit des menschlichen Sprachbaues und ihren Einfluss auf die geistige Entwickelung des Menschengeschlechts, 3 Bände, Berlin: Königliche Akademie der Wissenschaften/Ferdinand Dümmler 1836–1839, Band 1 (1836), S. VII–XIV.",Deutsch,Berlin,1836,"Alexander von Humboldt, Ueber die Urvölker von Amerika und die Denkmähler welche von ihnen übrig geblieben sind. Anthropologische und ethnographische Schriften, herausgegeben von Oliver Lubrich, Hannover: Wehrhahn 2009, S. 94–99.",,52.52437,13.41053
1773,1836-xxx_Ueber_Marc_Antoine-01-neu,V.56,404.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Allgemeine Zeitung 164 (12. Juni 1836), Außerordentliche Beilage 268–269 (12. Juni 1836), S. 1075.",Deutsch,Augsburg,1836,,,48.37154,10.89851
1774,1836-xxx_Ueber_Marc_Antoine-02-neu,V.56,399.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Augsburger Postzeitung. Ein Blatt statistisch-politischen Inhaltes 167 (15. Juni 1836), [o. S.].",Deutsch,Augsburg,1836,,,48.37154,10.89851
1775,1836-xxx_Ueber_Marc_Antoine-03-neu,V.56,374.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Die Bayer’sche Landbötin 100 (20. August 1836), S. 900.",Deutsch,München,1836,,,48.13743,11.57549
1776,1836-xxx_Ueber_Marc_Antoine-04-neu,V.56,399.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Johann Joseph Languet, Das Leben der gottseligen Mutter Margaretha Maria Alacoque, Nonne der Heimsuchung Mariä, Regensburg, Landshut: G. Joseph Manz 1836 (Leitsterne auf der Bahn des Heils 12 = N. F. 6), Band 2, S. 525–526.",Deutsch,Landshut; Regensburg,1836,,,,
1777,1836-xxx_Ueber_Marc_Antoine-05-neu,V.56,401.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Theophilus Nelk, Maria Stuart, Königin von Schottland. Eine wichtige Lebensgeschichte; neu erzählt, und der reiferen Jugend und allen Gebildeten gewidmet, Regensburg/Landshut: Joseph Manz 1836, [o. S.].",Deutsch,Landshut; Regensburg,1836,,,,
1778,1836-xxx_Ueber_Marc_Antoine-06-neu,V.56,399.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Marc-Antoine Jullien, Ueber die beste Benützung der Zeit, als erstes Mittel zum glücklichen Leben. Besonders für junge Leute von 15–25 Jahren, 2. Auflage, Regensburg/Landshut: Joseph Manz 1836, [o. S.].",Deutsch,Landshut; Regensburg,1836,,,,
1779,1836-xxx_Ueber_Marc_Antoine-07-neu,V.56,394.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Biblische Geschichte des alten und neuen Testaments. Zum Gebrauche für die lateinischen und Gewerbs-Schulen, Regensburg/Landshut: Joseph Manz 1837, [o. S.].",Deutsch,Landshut; Regensburg,1837,,,,
1780,1836-xxx_Ueber_Marc_Antoine-08-neu,V.56,396.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Adelbert Müller, Ehrenhalle der Menschheit. Eine Reihenfolge schöner und nachahmungswerther Charakterzüge. Zum Nutzen der Jugend, Regensburg: Joseph Manz 1838, [o. S.].",Deutsch,Regensburg,1838,,,49.01513,12.10161
1781,1836-xxx_Ueber_Marc_Antoine-09-neu,V.56,398.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Handbuch der allgemeinen Weltgeschichte für Schule und Haus, 2. Aufl., Regensburg: Joseph Manz 1838, S. 668.",Deutsch,Regensburg,1838,,,49.01513,12.10161
1782,1836-xxx_Ueber_Marc_Antoine-10-neu,V.56,397.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Andreas Steinberger, Das Verhältniss des Kreisbogens, zu seinen zuständigen trigonometrischen Funktionen vollständig bearbeitet, Regensburg: Georg Joseph Manz 1839, [o. S.].",Deutsch,Regensburg,1839,,,49.01513,12.10161
1783,1836-xxx_Ueber_Marc_Antoine-11-neu,V.56,403.0,[Über Marc Antoine Julliens Über die beste Benützung der Zeit],"in: Adelbert Müller, Die Donau vom Ursprunge bis zu den Mündungen. Zugleich ein Handbuch für Reisende, welche diesen Strom befahren, 2 Bände, Regensburg: Joseph Manz 1839–1841, Band 1 (1839), S. 269.",Deutsch,Regensburg,1839,,,49.01513,12.10161
1784,1837-Alexander_von_Humboldt-1,V.57,5428.0,Alexander von Humboldt,"in: Zeitung für die elegante Welt 37:199 (12. Oktober 1837), S. 793–794.",Deutsch,Leipzig,1837,,,51.33962,12.37129
1785,1837-Alexander_von_Humboldt-2,V.57,2446.0,[Alexander von Humboldt],"in: Die Säcular-Feier der Georgia Augusta im September 1837, Göttingen: Vandenhoeck und Ruprecht 1838, S. 12–13.",Deutsch,Göttingen,1838,,,51.53443,9.93228
1786,1837-Alexander_von_Humboldt-3-neu,V.57,5352.0,Alexander von Humboldt in Göttingen 1837,"in: Karl August Varnhagen von Ense, Denkwürdigkeiten und Vermischte Schriften, 2. Auflage, 9 Bände, Leipzig: Brockhaus 1843–1859, Band 5 (1843), S. [173]–176.",Deutsch,Leipzig,1843,,,51.33962,12.37129
1787,1837-Aufforderung_zu_magnetischen-1,V.58,1238.0,Aufforderung zu magnetischen Beobachtungen,"in: Allgemeine Zeitung 281 (8. Oktober 1837), Außerordentliche Beilage 494–495 (8. Oktober 1837), S. [1973].",Deutsch,Augsburg,1837,,,48.37154,10.89851
1788,1837-Aufforderung_zu_magnetischen-2-neu,V.58,1239.0,Aufforderung zu magnetischen Beobachtungen,"in: Allgemeiner Anzeiger und Nationalzeitung der Deutschen 274 (8. Oktober 1837), Sp. 3500–3501.",Deutsch,Gotha,1837,,,50.94823,10.70193
1789,1837-Aufforderung_zu_magnetischen-3-neu,V.58,1228.0,Aufforderung zu magnetischen Beobachtungen,"in: Fränkischer Merkur 282 (9. Oktober 1837), [o. S.].",Deutsch,Bamberg,1837,,,49.89873,10.90067
1790,1837-Aufforderung_zu_magnetischen-4-neu,V.58,1286.0,[Aufforderung zu magnetischen Beobachtungen],"in: Oesterreichisch-Kaiserliche privilegirte Wiener Zeitung 231 (9. Oktober 1837), S. 1295.",Deutsch,Wien,1837,,,48.20849,16.37208
1791,1837-Aufforderung_zu_magnetischen-5-neu,V.58,1317.0,Osservazioni magnetiche,"in: Gazzetta piemontese 255 (14. Oktober 1837), [o. S.].",Italienisch,Turin,1837,,,45.07049,7.68682
1792,1837-Aufforderung_zu_magnetischen-6-neu,V.58,1110.0,Invito ad osservazioni magnetiche,"in: Gazzetta di Genova 40:84 (21. Oktober 1837), S. 2.",Italienisch,Genua,1837,,,44.40478,8.94439
1793,1837-Aufforderung_zu_magnetischen-7-neu,V.58,1129.0,Invito ad osservazioni magnetiche,"in: Il pirata. Giornale di letteratura, belle arti, varietà e teatri 3:35 (31. Oktober 1837), S. 146.",Italienisch,Mailand,1837,,,45.46427,9.18951
1794,1837-Aufforderung_zu_magnetischen-8-neu,V.58,1105.0,Invito ad osservazioni magnetiche,"in: Giornale della Provincia Bresciana 45 (5. November 1837), S. 714.",Italienisch,Brescia,1837,,,45.53558,10.21472
1795,1837-Extrait_d_une-1,V.59,1624.0,Extrait d’une lettre de M. de Humboldt Ü,"in: Comptes rendus hebdomadaires des séances de l’Académie des Sciences 4 (Januar–Juni 1837), S. 293.",Französisch,Paris,1837,,,48.85341,2.3488
1796,1837-Extrait_d_une-2-neu,V.59,1640.0,Extract of a letter from Baron de Humboldt,"in: The Athenæum. Journal of English and Foreign Literature, Science, and the Fine Arts 491 (25. März 1837), S. 220.",Englisch,London,1837,,,51.50853,-0.12574
1797,1837-Extrait_d_une-3-neu,V.59,1638.0,Fossil Food,"in: The Patriot 6:311 (27. März 1837), S. 194.",Englisch,London,1837,,,51.50853,-0.12574
1798,1837-Extrait_d_une-4-neu,V.59,1638.0,Extract of a Letter from Baron de Humboldt,"in: Cheltenham Chronicle, and Gloucestershire Advertiser 28:1439 (30. März 1837), [o. S.].",Englisch,Cheltenham,1837,,,51.90006,-2.07972
1799,1837-Extrait_d_une-5-neu,V.59,1652.0,Fossil Infusoria,"in: Journal of the Franklin Institute 20:5 (November 1837), S. 370",Englisch,"Philadelphia, Pennsylvania",1837,,,39.95233,-75.16379
